Specialist,DIAGNOSIS_CODE,ACTIVITY_CODE,ACTIVITY_COUNT_TOTAL,DIAGNOSIS_CODE_COUNT,ACTIVITY_COUNT_AVG,ACTIVITY_COUNT_STDEV,CareProfile_class_code
ANA,200,080001,1,29,0.03448276,0.0332937,7
ANA,200,190011,4,29,0.137931,0.1189061,1
ANA,200,190013,4,29,0.137931,0.1189061,1
ANA,200,190035,6,29,0.2068966,0.1640904,2
ANA,200,194155,4,29,0.137931,0.1189061,12
ANA,200,194162,1,29,0.03448276,0.0332937,12
ANA,200,194164,3,29,0.1034483,0.09274673,12
ANA,998,190009,3,3,1,0,1
CAR,101,033694,11,1075,0.01023256,0.01012785,4
CAR,101,039494,11,1075,0.01023256,0.01012785,7
CAR,101,039496,1,1075,0.0009302326,0.0009293672,4
CAR,101,039497,1,1075,0.0009302326,0.0009293672,4
CAR,101,039506,1,1075,0.0009302326,0.0009293672,4
CAR,101,039680,41,1075,0.03813953,0.03668491,6
CAR,101,039755,4,1075,0.00372093,0.003707085,6
CAR,101,039757,80,1075,0.0744186,0.06888048,4
CAR,101,039844,6,1075,0.005581395,0.005550243,4
CAR,101,050501,2,1075,0.001860465,0.001857004,10
CAR,101,070004,1,1075,0.0009302326,0.0009293672,9
CAR,101,070100,1,1075,0.0009302326,0.0009293672,8
CAR,101,070116,37,1075,0.03441861,0.03323396,8
CAR,101,070119,7,1075,0.006511628,0.006469226,8
CAR,101,070219,1,1075,0.0009302326,0.0009293672,8
CAR,101,070303,1,1075,0.0009302326,0.0009293672,8
CAR,101,070307,6,1075,0.005581395,0.005550243,8
CAR,101,070402,37,1075,0.03441861,0.03323396,8
CAR,101,070419,39,1075,0.03627907,0.0349629,8
CAR,101,070425,37,1075,0.03441861,0.03323396,8
CAR,101,070426,5,1075,0.004651163,0.00462953,8
CAR,101,070442,37,1075,0.03441861,0.03323396,8
CAR,101,070443,37,1075,0.03441861,0.03323396,8
CAR,101,070460,35,1075,0.03255814,0.03149811,8
CAR,101,070489,36,1075,0.03348837,0.0323669,8
CAR,101,070496,1,1075,0.0009302326,0.0009293672,8
CAR,101,070501,1,1075,0.0009302326,0.0009293672,9
CAR,101,070503,1,1075,0.0009302326,0.0009293672,9
CAR,101,070588,1,1075,0.0009302326,0.0009293672,9
CAR,101,070604,1,1075,0.0009302326,0.0009293672,8
CAR,101,070611,1,1075,0.0009302326,0.0009293672,8
CAR,101,070621,1,1075,0.0009302326,0.0009293672,9
CAR,101,070689,36,1075,0.03348837,0.0323669,8
CAR,101,070693,1,1075,0.0009302326,0.0009293672,8
CAR,101,070702,37,1075,0.03441861,0.03323396,8
CAR,101,070703,1,1075,0.0009302326,0.0009293672,8
CAR,101,070707,1,1075,0.0009302326,0.0009293672,8
CAR,101,070715,36,1075,0.03348837,0.0323669,8
CAR,101,070717,1,1075,0.0009302326,0.0009293672,8
CAR,101,070820,2,1075,0.001860465,0.001857004,8
CAR,101,072106,1,1075,0.0009302326,0.0009293672,8
CAR,101,072410,4,1075,0.00372093,0.003707085,8
CAR,101,072414,7,1075,0.006511628,0.006469226,8
CAR,101,072417,35,1075,0.03255814,0.03149811,8
CAR,101,072508,1,1075,0.0009302326,0.0009293672,8
CAR,101,072570,1,1075,0.0009302326,0.0009293672,8
CAR,101,072573,2,1075,0.001860465,0.001857004,8
CAR,101,072647,1,1075,0.0009302326,0.0009293672,8
CAR,101,072820,2,1075,0.001860465,0.001857004,11
CAR,101,074110,6,1075,0.005581395,0.005550243,8
CAR,101,074251,37,1075,0.03441861,0.03323396,8
CAR,101,074801,1,1075,0.0009302326,0.0009293672,8
CAR,101,074802,5,1075,0.004651163,0.00462953,8
CAR,101,074891,36,1075,0.03348837,0.0323669,8
CAR,101,074892,35,1075,0.03255814,0.03149811,8
CAR,101,074895,35,1075,0.03255814,0.03149811,8
CAR,101,074896,35,1075,0.03255814,0.03149811,8
CAR,101,074899,35,1075,0.03255814,0.03149811,8
CAR,101,075043,1,1075,0.0009302326,0.0009293672,9
CAR,101,077101,1,1075,0.0009302326,0.0009293672,8
CAR,101,077121,36,1075,0.03348837,0.0323669,8
CAR,101,079992,1,1075,0.0009302326,0.0009293672,11
CAR,101,085002,34,1075,0.03162791,0.03062758,7
CAR,101,085042,1,1075,0.0009302326,0.0009293672,7
CAR,101,085140,2,1075,0.001860465,0.001857004,7
CAR,101,085190,1,1075,0.0009302326,0.0009293672,7
CAR,101,087002,1,1075,0.0009302326,0.0009293672,7
CAR,101,087070,1,1075,0.0009302326,0.0009293672,7
CAR,101,190011,55,1075,0.05116279,0.04854516,1
CAR,101,190012,6,1075,0.005581395,0.005550243,1
CAR,101,190013,12,1075,0.01116279,0.01103818,1
CAR,101,190014,2,1075,0.001860465,0.001857004,99
CAR,101,190015,44,1075,0.04093023,0.03925495,89
CAR,101,190035,1,1075,0.0009302326,0.0009293672,2
CAR,201,033229,14,5151,0.002717919,0.002710532,4
CAR,201,033285,1,5151,0.0001941371,0.0001940994,6
CAR,201,033694,121,5151,0.02349058,0.02293878,4
CAR,201,039494,121,5151,0.02349058,0.02293878,7
CAR,201,039496,8,5151,0.001553096,0.001550684,4
CAR,201,039497,3,5151,0.0005824112,0.000582072,4
CAR,201,039506,1,5151,0.0001941371,0.0001940994,4
CAR,201,039680,105,5151,0.02038439,0.01996887,6
CAR,201,039755,19,5151,0.003688604,0.003674998,6
CAR,201,039757,582,5151,0.1129878,0.1002215,4
CAR,201,039832,1,5151,0.0001941371,0.0001940994,4
CAR,201,039839,4,5151,0.0007765482,0.0007759452,4
CAR,201,039844,152,5151,0.02950883,0.02863806,4
CAR,201,039845,1,5151,0.0001941371,0.0001940994,4
CAR,201,039846,2,5151,0.0003882741,0.0003881234,4
CAR,201,039848,2,5151,0.0003882741,0.0003881234,6
CAR,201,039932,2,5151,0.0003882741,0.0003881234,4
CAR,201,039939,3,5151,0.0005824112,0.000582072,6
CAR,201,070100,10,5151,0.001941371,0.001937602,8
CAR,201,070116,144,5151,0.02795574,0.02717421,8
CAR,201,070119,15,5151,0.002912056,0.002903576,8
CAR,201,070303,10,5151,0.001941371,0.001937602,8
CAR,201,070307,12,5151,0.002329645,0.002324217,8
CAR,201,070402,152,5151,0.02950883,0.02863806,8
CAR,201,070419,159,5151,0.03086779,0.02991497,8
CAR,201,070421,6,5151,0.001164822,0.001163466,8
CAR,201,070425,135,5151,0.0262085,0.02552162,8
CAR,201,070426,15,5151,0.002912056,0.002903576,8
CAR,201,070437,3,5151,0.0005824112,0.000582072,8
CAR,201,070440,1,5151,0.0001941371,0.0001940994,8
CAR,201,070442,156,5151,0.03028538,0.02936818,8
CAR,201,070443,156,5151,0.03028538,0.02936818,8
CAR,201,070449,3,5151,0.0005824112,0.000582072,8
CAR,201,070460,121,5151,0.02349058,0.02293878,8
CAR,201,070468,2,5151,0.0003882741,0.0003881234,8
CAR,201,070469,5,5151,0.0009706853,0.0009697431,8
CAR,201,070489,182,5151,0.03533294,0.03408453,8
CAR,201,070496,1,5151,0.0001941371,0.0001940994,8
CAR,201,070501,1,5151,0.0001941371,0.0001940994,9
CAR,201,070604,10,5151,0.001941371,0.001937602,8
CAR,201,070611,10,5151,0.001941371,0.001937602,8
CAR,201,070689,122,5151,0.02368472,0.02312376,8
CAR,201,070702,145,5151,0.02814987,0.02735746,8
CAR,201,070703,16,5151,0.003106193,0.003096545,8
CAR,201,070707,15,5151,0.002912056,0.002903576,8
CAR,201,070715,141,5151,0.02737333,0.02662403,8
CAR,201,070716,1,5151,0.0001941371,0.0001940994,8
CAR,201,070717,1,5151,0.0001941371,0.0001940994,8
CAR,201,070718,2,5151,0.0003882741,0.0003881234,8
CAR,201,070820,7,5151,0.001358959,0.001357113,8
CAR,201,071118,1,5151,0.0001941371,0.0001940994,9
CAR,201,071126,1,5151,0.0001941371,0.0001940994,9
CAR,201,072106,10,5151,0.001941371,0.001937602,8
CAR,201,072410,4,5151,0.0007765482,0.0007759452,8
CAR,201,072414,5,5151,0.0009706853,0.0009697431,8
CAR,201,072417,123,5151,0.02387886,0.02330866,8
CAR,201,072511,1,5151,0.0001941371,0.0001940994,8
CAR,201,072519,1,5151,0.0001941371,0.0001940994,8
CAR,201,072531,1,5151,0.0001941371,0.0001940994,8
CAR,201,072551,1,5151,0.0001941371,0.0001940994,8
CAR,201,072552,1,5151,0.0001941371,0.0001940994,8
CAR,201,072565,1,5151,0.0001941371,0.0001940994,8
CAR,201,072570,12,5151,0.002329645,0.002324217,8
CAR,201,072573,28,5151,0.005435838,0.005406289,8
CAR,201,072582,2,5151,0.0003882741,0.0003881234,8
CAR,201,072583,3,5151,0.0005824112,0.000582072,8
CAR,201,072649,3,5151,0.0005824112,0.000582072,8
CAR,201,072820,1,5151,0.0001941371,0.0001940994,11
CAR,201,072841,1,5151,0.0001941371,0.0001940994,11
CAR,201,074065,2,5151,0.0003882741,0.0003881234,8
CAR,201,074110,14,5151,0.002717919,0.002710532,8
CAR,201,074251,133,5151,0.02582023,0.02515355,8
CAR,201,074801,2,5151,0.0003882741,0.0003881234,8
CAR,201,074802,16,5151,0.003106193,0.003096545,8
CAR,201,074891,183,5151,0.03552708,0.03426491,8
CAR,201,074892,179,5151,0.03475053,0.03354293,8
CAR,201,074895,176,5151,0.03416812,0.03300066,8
CAR,201,074896,122,5151,0.02368472,0.02312376,8
CAR,201,074897,2,5151,0.0003882741,0.0003881234,8
CAR,201,074899,159,5151,0.03086779,0.02991497,8
CAR,201,075042,2,5151,0.0003882741,0.0003881234,9
CAR,201,075044,1,5151,0.0001941371,0.0001940994,9
CAR,201,075045,1,5151,0.0001941371,0.0001940994,9
CAR,201,077121,138,5151,0.02679092,0.02607316,8
CAR,201,077371,1,5151,0.0001941371,0.0001940994,8
CAR,201,079992,1,5151,0.0001941371,0.0001940994,11
CAR,201,085000,14,5151,0.002717919,0.002710532,7
CAR,201,085002,130,5151,0.02523782,0.02460087,7
CAR,201,085042,5,5151,0.0009706853,0.0009697431,7
CAR,201,085140,8,5151,0.001553096,0.001550684,7
CAR,201,085141,4,5151,0.0007765482,0.0007759452,7
CAR,201,085190,1,5151,0.0001941371,0.0001940994,7
CAR,201,087042,2,5151,0.0003882741,0.0003881234,7
CAR,201,087070,2,5151,0.0003882741,0.0003881234,7
CAR,201,089070,1,5151,0.0001941371,0.0001940994,7
CAR,201,089602,2,5151,0.0003882741,0.0003881234,7
CAR,201,120241,22,5151,0.004271016,0.004252774,7
